Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_ENERGY,Base_CUDA,block_256,426667, PASSED     ,2.7637e-05,3105.64,849.103,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1024-kernel-run-data.csv,CUDA,Base_CUDA-block_256,722.619,2643.02
Apps_ENERGY,RAJA_CUDA,block_256,426667, PASSED     ,2.77141e-05,3097.01,846.742,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1024-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,723.629,2646.71
Apps_ENERGY,Base_Seq,default,53334, PASSED     ,0.000289255,37.0917,10.1411,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_128-kernel-run-data.csv,Seq,Base_Seq-default,10.1411,37.0917
Apps_ENERGY,Base_CUDA,block_256,53334, PASSED     ,1.47558e-05,727.103,198.795,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_128-kernel-run-data.csv,CUDA,Base_CUDA-block_256,198.795,727.103
Apps_ENERGY,RAJA_CUDA,block_256,53334, PASSED     ,1.48072e-05,724.576,198.104,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_128-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,198.104,724.576
Apps_ENERGY,Base_Seq,default,625000, PASSED     ,0.00478401,26.281,7.18539,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default,7.795835,28.5137
Apps_ENERGY,Base_CUDA,block_256,625000, PASSED     ,4.27187e-05,2943.18,804.683,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1500-kernel-run-data.csv,CUDA,Base_CUDA-block_256,763.6510000000001,2793.1
Apps_ENERGY,RAJA_CUDA,block_256,625000, PASSED     ,4.28399e-05,2934.85,802.407,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1500-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,763.018,2790.7799999999997
Apps_ENERGY,Base_Seq,default,6667, PASSED     ,2.8493e-05,47.0702,12.8693,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_16-kernel-run-data.csv,Seq,Base_Seq-default,12.9191,47.2522
Apps_ENERGY,Base_CUDA,block_256,6667, PASSED     ,1.3375e-05,100.275,27.4158,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_16-kernel-run-data.csv,CUDA,Base_CUDA-block_256,27.4158,100.275
Apps_ENERGY,RAJA_CUDA,block_256,6667, PASSED     ,1.3445e-05,99.7526,27.273,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_16-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,27.273,99.7526
